Landslide_,Elevation_,Aspect_Pla,Faults_dis,lithology_,LULC_Band_,NDVI_Band_,PlanCurve_,ProfileCur,Rainfall_B,Roads_dis_,Slope_Band,SoilGroup_,SoilMoistu,STI_Band_1,TWI_Band_1,Water_dis_
0,0.318604651,0.597803,0.0337359,0.75,1,0.438548,0.469927,0.497402,1,0,0.341831,0.333333333,0.522985,0,0.18505,0.069011
0,0.32747093,0.115965,0.0439862,0.75,0,0.62375,0.464511,0.49575,1,0.00767507,0.31576,0.333333333,0.551074,0,0.259344,0.0966021
0,0.363372093,0.216123,0.0640093,0.75,1,0.441209,0.479156,0.496825,1,0.0242707,0.151426,0.333333333,0.551074,0,0.301609,0.102108
0,0.365116279,0.188433,0.27324,0.5,1,0.438195,0.496412,0.450214,0.35626,0.244279,0.429116,0.166666667,0.584625,0,0.211183,0.23389
0,0.220203488,0.868542,0.196133,0,1,0.592165,0.471842,0.50153,0.565269,0.00767507,0.402496,0.333333333,0.450454,0.00138065,0.230549,0.0160447
0,0.298401163,0.418707,0.0589171,0,1,0.450778,0.468873,0.499189,0.565269,0.0153501,0.147906,0.333333333,0.379613,0.00561288,0.245877,0.00802237
0,0.324563953,0.521003,0.0106682,0.5,1,0.465327,0.483319,0.46869,0.35626,0.00767507,0.272201,0.166666667,0.379613,0.000121082,0.302322,0.0160447
0,0.441715116,0.394533,0.0917715,0,1,0.464689,0.47993,0.502672,0.565269,0.0686479,0.363903,0.333333333,0.385792,0,0.161673,0.0717542
0,0.370494186,0.290004,0.0678921,0,1,0.520845,0.477982,0.469718,0.565269,0.107725,0.589637,0.166666667,0.385792,0,0.232304,0.112599
0,0.342296512,0.943582,0.0311029,0,0,0.487013,0.499798,0.476447,0,0.158226,0.432381,0.166666667,0.298488,0,0.159093,0.00802237
0,0.423546512,0.573925,0.478169,0.5,1,0.444305,0.473135,0.497314,0.35626,0.134039,0.18901,0.166666667,0.606776,0,0.222195,0.146394
0,0.37252907,0.525979,0.401584,0.5,1,0.446735,0.474782,0.50123,0.35626,0,0.29949,0.166666667,0.549522,0.00673659,0.271158,0.00802237
0,0.399563953,0.435278,0.360279,0.5,1,0.453622,0.48246,0.483721,1,0.168327,0.19508,0.333333333,0.744104,0,0.222651,0.138022
0,0.409447674,0.39933,0.220835,0.5,1,0.464689,0.494347,0.48524,1,0.164074,0.331605,0.333333333,0.744104,0,0.230561,0.0113453
0,0.299127907,0.654089,0.441476,0.5,1,0.433585,0.490089,0.492355,0.35626,0.00767507,0.22052,0.333333333,0.562165,0.00263718,0.248631,0
0,0.39869186,0.489784,0.414279,0.5,1,0.464689,0.480753,0.44834,0.35626,0.0153501,0.358334,0.166666667,0.606776,0,0.206819,0.0240671
0,0.371366279,0.904939,0.393424,0.5,1,0.433458,0.485362,0.501718,0.35626,0.0153501,0.176813,0.333333333,0.549522,0,0.242418,0.00802237
0,0.445203488,0.654711,0.35933,0.5,1,0.439099,0.483741,0.48735,0.740032,0.0651251,0.0657107,0.333333333,0.549522,0,0.367002,0.00802237
0,0.295639535,0.175168,0.0168679,0,1,0.424524,0.469021,0.488833,1,0.0230252,0.423726,0.333333333,0.522985,0,0.141853,0.0160447
0,0.247819767,0.959924,0.0168679,0,1,0.462339,0.480958,0.500864,1,0.00767507,0.202213,0.833333333,0.522985,0,0.228836,0
0,0.252906977,0.175148,0.0168679,0,1,0.434591,0.484114,0.498116,0.565269,0.0153501,0.312664,0.333333333,0.522985,0,0.213637,0.00802237
0,0.371656977,0.630651,0.104799,0.5,1,0.447843,0.466705,0.51057,0.35626,0.0924201,0.420213,0.166666667,0.602991,0,0.158712,0.0966021
0,0.310465116,0.617984,0.092081,0.5,1,0.459418,0.485832,0.488999,0.565269,0.017162,0.379904,0.166666667,0.602991,0,0.139992,0.0481342
0,0.338226744,0.638043,0.0853457,0,1,0.794035,0.462083,0.488599,0.565269,0.0584516,0.451581,0.333333333,0.379613,0,0.288097,0.0646784
0,0.307848837,0.603023,0.0589171,0.5,1,0.445517,0.495712,0.478462,0.740032,0.017162,0.479736,0.333333333,0,0,0.156003,0.0113453
